Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.402230942
75% Corpus,2,0.01,0.31,0.399898093
75% Corpus,2,0.01,0.61,0.390742151
75% Corpus,2,0.01,0.91,0.390742151
75% Corpus,2,0.01,symmetric,0.399898093
75% Corpus,2,0.31,0.01,0.404471712
75% Corpus,2,0.31,0.31,0.402802334
75% Corpus,2,0.31,0.61,0.402802334
75% Corpus,2,0.31,0.91,0.40885401
75% Corpus,2,0.31,symmetric,0.402802334
75% Corpus,2,0.61,0.01,0.40817416
75% Corpus,2,0.61,0.31,0.411700209
75% Corpus,2,0.61,0.61,0.377124464
75% Corpus,2,0.61,0.91,0.366386012
75% Corpus,2,0.61,symmetric,0.379860676
75% Corpus,2,0.91,0.01,0.397309892
75% Corpus,2,0.91,0.31,0.388680905
75% Corpus,2,0.91,0.61,0.376513637
75% Corpus,2,0.91,0.91,0.374832707
75% Corpus,2,0.91,symmetric,0.377124464
75% Corpus,2,symmetric,0.01,0.404471712
75% Corpus,2,symmetric,0.31,0.40885401
75% Corpus,2,symmetric,0.61,0.379860676
75% Corpus,2,symmetric,0.91,0.36769083
75% Corpus,2,symmetric,symmetric,0.4035924
75% Corpus,2,asymmetric,0.01,0.409019688
75% Corpus,2,asymmetric,0.31,0.402230942
75% Corpus,2,asymmetric,0.61,0.390742151
75% Corpus,2,asymmetric,0.91,0.402630653
75% Corpus,2,asymmetric,symmetric,0.399898093
75% Corpus,3,0.01,0.01,0.369577552
75% Corpus,3,0.01,0.31,0.428254702
75% Corpus,3,0.01,0.61,0.394475225
75% Corpus,3,0.01,0.91,0.389126486
75% Corpus,3,0.01,symmetric,0.43418011
75% Corpus,3,0.31,0.01,0.379135881
75% Corpus,3,0.31,0.31,0.45191504
75% Corpus,3,0.31,0.61,0.435029206
75% Corpus,3,0.31,0.91,0.38158722
75% Corpus,3,0.31,symmetric,0.446830709
75% Corpus,3,0.61,0.01,0.385622996
75% Corpus,3,0.61,0.31,0.428704495
75% Corpus,3,0.61,0.61,0.42538958
75% Corpus,3,0.61,0.91,0.435881911
75% Corpus,3,0.61,symmetric,0.421380399
75% Corpus,3,0.91,0.01,0.38476089
75% Corpus,3,0.91,0.31,0.330380874
75% Corpus,3,0.91,0.61,0.415507138
75% Corpus,3,0.91,0.91,0.438881373
75% Corpus,3,0.91,symmetric,0.366676719
75% Corpus,3,symmetric,0.01,0.381144086
75% Corpus,3,symmetric,0.31,0.439013947
75% Corpus,3,symmetric,0.61,0.432717953
75% Corpus,3,symmetric,0.91,0.380303997
75% Corpus,3,symmetric,symmetric,0.439013947
75% Corpus,3,asymmetric,0.01,0.384311154
75% Corpus,3,asymmetric,0.31,0.418169854
75% Corpus,3,asymmetric,0.61,0.4512609
