Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.35589705778316005
75% Corpus,2,0.01,0.31,0.3536464821573517
75% Corpus,2,0.01,0.61,0.3528163392992346
75% Corpus,2,0.01,0.9099999999999999,0.35159519319369603
75% Corpus,2,0.01,symmetric,0.3528163392992346
75% Corpus,2,0.31,0.01,0.34923890597286666
75% Corpus,2,0.31,0.31,0.3571148259539179
75% Corpus,2,0.31,0.61,0.35821294159854417
75% Corpus,2,0.31,0.9099999999999999,0.3546976530020588
75% Corpus,2,0.31,symmetric,0.3581465492589702
75% Corpus,2,0.61,0.01,0.35846512164359695
75% Corpus,2,0.61,0.31,0.3571148259539179
75% Corpus,2,0.61,0.61,0.36960983130193537
75% Corpus,2,0.61,0.9099999999999999,0.36609454270545005
75% Corpus,2,0.61,symmetric,0.3581465492589702
75% Corpus,2,0.9099999999999999,0.01,0.3597085176767414
75% Corpus,2,0.9099999999999999,0.31,0.36857810799688306
75% Corpus,2,0.9099999999999999,0.61,0.36961386076666003
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.36609454270545005
75% Corpus,2,0.9099999999999999,symmetric,0.36960983130193537
75% Corpus,2,symmetric,0.01,0.3565944521792608
75% Corpus,2,symmetric,0.31,0.3571148259539179
75% Corpus,2,symmetric,0.61,0.35814654925897027
75% Corpus,2,symmetric,0.9099999999999999,0.36609454270545005
75% Corpus,2,symmetric,symmetric,0.35814654925897027
75% Corpus,2,asymmetric,0.01,0.3509184836164567
75% Corpus,2,asymmetric,0.31,0.3584651216435969
75% Corpus,2,asymmetric,0.61,0.3579008302758856
75% Corpus,2,asymmetric,0.9099999999999999,0.35814654925897016
75% Corpus,2,asymmetric,symmetric,0.3579008302758856
75% Corpus,3,0.01,0.01,0.3882329094557024
75% Corpus,3,0.01,0.31,0.37923939019509817
75% Corpus,3,0.01,0.61,0.4049643088318764
75% Corpus,3,0.01,0.9099999999999999,0.35892824524155137
75% Corpus,3,0.01,symmetric,0.37230664989221635
75% Corpus,3,0.31,0.01,0.39056772185812605
75% Corpus,3,0.31,0.31,0.3883489591961364
75% Corpus,3,0.31,0.61,0.4422224835587179
75% Corpus,3,0.31,0.9099999999999999,0.4221604979009422
75% Corpus,3,0.31,symmetric,0.3883489591961364
75% Corpus,3,0.61,0.01,0.39578320364976355
75% Corpus,3,0.61,0.31,0.3952434907639286
75% Corpus,3,0.61,0.61,0.3884203006514129
75% Corpus,3,0.61,0.9099999999999999,0.43525474676630554
75% Corpus,3,0.61,symmetric,0.392908678361505
75% Corpus,3,0.9099999999999999,0.01,0.39766510989904535
75% Corpus,3,0.9099999999999999,0.31,0.3991230480024668
75% Corpus,3,0.9099999999999999,0.61,0.3887329181454606
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4194059117490799
75% Corpus,3,0.9099999999999999,symmetric,0.3991230480024668
75% Corpus,3,symmetric,0.01,0.39056772185812605
75% Corpus,3,symmetric,0.31,0.3879176998515596
75% Corpus,3,symmetric,0.61,0.4404445837933604
75% Corpus,3,symmetric,0.9099999999999999,0.42595405483961235
75% Corpus,3,symmetric,symmetric,0.3883489591961364
75% Corpus,3,asymmetric,0.01,0.36173445615605965
75% Corpus,3,asymmetric,0.31,0.41493387456599407
75% Corpus,3,asymmetric,0.61,0.4502174238960814
75% Corpus,3,asymmetric,0.9099999999999999,0.37524990753660603
75% Corpus,3,asymmetric,symmetric,0.414933874565994
75% Corpus,4,0.01,0.01,0.410046805254475
75% Corpus,4,0.01,0.31,0.39188219864211066
75% Corpus,4,0.01,0.61,0.4464009574163637
75% Corpus,4,0.01,0.9099999999999999,0.38817640392812636
75% Corpus,4,0.01,symmetric,0.4068485481774933
75% Corpus,4,0.31,0.01,0.39043997883292314
75% Corpus,4,0.31,0.31,0.444649380498321
75% Corpus,4,0.31,0.61,0.42504170037669675
75% Corpus,4,0.31,0.9099999999999999,0.4123063345533091
75% Corpus,4,0.31,symmetric,0.41723780870981575
75% Corpus,4,0.61,0.01,0.40035557252055015
75% Corpus,4,0.61,0.31,0.40200403423652026
75% Corpus,4,0.61,0.61,0.46488748022110976
75% Corpus,4,0.61,0.9099999999999999,0.4263927514237552
75% Corpus,4,0.61,symmetric,0.393098090364364
75% Corpus,4,0.9099999999999999,0.01,0.39808842176982445
75% Corpus,4,0.9099999999999999,0.31,0.39842583858853164
75% Corpus,4,0.9099999999999999,0.61,0.4429850261297965
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.47671299219318464
75% Corpus,4,0.9099999999999999,symmetric,0.39004255891894324
75% Corpus,4,symmetric,0.01,0.3871325634983672
75% Corpus,4,symmetric,0.31,0.44227585113468615
75% Corpus,4,symmetric,0.61,0.40607688672818076
75% Corpus,4,symmetric,0.9099999999999999,0.38872713602955233
75% Corpus,4,symmetric,symmetric,0.4335074513372256
75% Corpus,4,asymmetric,0.01,0.4003249384190607
75% Corpus,4,asymmetric,0.31,0.4463810863945227
75% Corpus,4,asymmetric,0.61,0.562369338983149
75% Corpus,4,asymmetric,0.9099999999999999,0.5384142078819145
75% Corpus,4,asymmetric,symmetric,0.40167577838570556
75% Corpus,5,0.01,0.01,0.3855357112602241
75% Corpus,5,0.01,0.31,0.46100183377082243
75% Corpus,5,0.01,0.61,0.4550770209580727
75% Corpus,5,0.01,0.9099999999999999,0.36760742276256064
75% Corpus,5,0.01,symmetric,0.43206248943107833
75% Corpus,5,0.31,0.01,0.37752615486089974
75% Corpus,5,0.31,0.31,0.4197798011886915
75% Corpus,5,0.31,0.61,0.4635898759915828
75% Corpus,5,0.31,0.9099999999999999,0.4141070646109745
75% Corpus,5,0.31,symmetric,0.4156622622443885
75% Corpus,5,0.61,0.01,0.4034074735129619
75% Corpus,5,0.61,0.31,0.39958475473709776
75% Corpus,5,0.61,0.61,0.4726757889542085
75% Corpus,5,0.61,0.9099999999999999,0.4886772507028385
75% Corpus,5,0.61,symmetric,0.391041423883897
75% Corpus,5,0.9099999999999999,0.01,0.3992395371884578
75% Corpus,5,0.9099999999999999,0.31,0.4181196319807083
75% Corpus,5,0.9099999999999999,0.61,0.41409945581126273
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4843042638738034
75% Corpus,5,0.9099999999999999,symmetric,0.4135656865282614
75% Corpus,5,symmetric,0.01,0.3965707369896055
75% Corpus,5,symmetric,0.31,0.42773523807171737
75% Corpus,5,symmetric,0.61,0.457888499720175
75% Corpus,5,symmetric,0.9099999999999999,0.3668343396112782
75% Corpus,5,symmetric,symmetric,0.42958541638252257
75% Corpus,5,asymmetric,0.01,0.41441463221774094
75% Corpus,5,asymmetric,0.31,0.4742303019965277
75% Corpus,5,asymmetric,0.61,0.5500900918920791
75% Corpus,5,asymmetric,0.9099999999999999,0.49420792867167734
75% Corpus,5,asymmetric,symmetric,0.41250287740935254
75% Corpus,6,0.01,0.01,0.4045859580526165
75% Corpus,6,0.01,0.31,0.45120454059565174
75% Corpus,6,0.01,0.61,0.5120785916185987
75% Corpus,6,0.01,0.9099999999999999,0.38124769580169193
75% Corpus,6,0.01,symmetric,0.40704561202360856
75% Corpus,6,0.31,0.01,0.3968532005881204
75% Corpus,6,0.31,0.31,0.48022244341157605
75% Corpus,6,0.31,0.61,0.44703843053941855
75% Corpus,6,0.31,0.9099999999999999,0.4286873022609754
75% Corpus,6,0.31,symmetric,0.4449296297791913
75% Corpus,6,0.61,0.01,0.403592449471788
75% Corpus,6,0.61,0.31,0.43212887833666813
75% Corpus,6,0.61,0.61,0.5067265830140817
75% Corpus,6,0.61,0.9099999999999999,0.47102442950182
75% Corpus,6,0.61,symmetric,0.41267363486957964
75% Corpus,6,0.9099999999999999,0.01,0.3946630613417272
75% Corpus,6,0.9099999999999999,0.31,0.4194750899102635
75% Corpus,6,0.9099999999999999,0.61,0.4880295934677719
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5420075361809927
75% Corpus,6,0.9099999999999999,symmetric,0.4002958664025175
75% Corpus,6,symmetric,0.01,0.39747757848576315
75% Corpus,6,symmetric,0.31,0.5157071350613104
75% Corpus,6,symmetric,0.61,0.45643716433942455
75% Corpus,6,symmetric,0.9099999999999999,0.38114561046740336
75% Corpus,6,symmetric,symmetric,0.4750044603968364
75% Corpus,6,asymmetric,0.01,0.4039243455025756
75% Corpus,6,asymmetric,0.31,0.5284715864642324
75% Corpus,6,asymmetric,0.61,0.5384487283598555
75% Corpus,6,asymmetric,0.9099999999999999,0.36956697305715486
75% Corpus,6,asymmetric,symmetric,0.41911223286708504
75% Corpus,7,0.01,0.01,0.4189303188062573
75% Corpus,7,0.01,0.31,0.43344098023449135
75% Corpus,7,0.01,0.61,0.4584757497383437
75% Corpus,7,0.01,0.9099999999999999,0.4277557753508782
75% Corpus,7,0.01,symmetric,0.4910341503108334
75% Corpus,7,0.31,0.01,0.4080703263876543
75% Corpus,7,0.31,0.31,0.49941774304293524
75% Corpus,7,0.31,0.61,0.5227920273700827
75% Corpus,7,0.31,0.9099999999999999,0.4525731861289877
75% Corpus,7,0.31,symmetric,0.4704377006525148
75% Corpus,7,0.61,0.01,0.3952786470497977
75% Corpus,7,0.61,0.31,0.4371870752440679
75% Corpus,7,0.61,0.61,0.49542735175467467
75% Corpus,7,0.61,0.9099999999999999,0.5881209286550698
75% Corpus,7,0.61,symmetric,0.3805388560141183
75% Corpus,7,0.9099999999999999,0.01,0.3901150909930982
75% Corpus,7,0.9099999999999999,0.31,0.4068762033882915
75% Corpus,7,0.9099999999999999,0.61,0.4850420048248246
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5881463805830135
75% Corpus,7,0.9099999999999999,symmetric,0.38489151071012023
75% Corpus,7,symmetric,0.01,0.42510010487632627
75% Corpus,7,symmetric,0.31,0.4701411460566098
75% Corpus,7,symmetric,0.61,0.49173585819484245
75% Corpus,7,symmetric,0.9099999999999999,0.4215356131108458
75% Corpus,7,symmetric,symmetric,0.46925555159144283
75% Corpus,7,asymmetric,0.01,0.4138546188193479
75% Corpus,7,asymmetric,0.31,0.4677177923612358
75% Corpus,7,asymmetric,0.61,0.504060811533652
75% Corpus,7,asymmetric,0.9099999999999999,0.37562308347205164
75% Corpus,7,asymmetric,symmetric,0.444122611296376
75% Corpus,8,0.01,0.01,0.4059297562158748
75% Corpus,8,0.01,0.31,0.47012633012060107
75% Corpus,8,0.01,0.61,0.4336604486068747
75% Corpus,8,0.01,0.9099999999999999,0.40589223281239517
75% Corpus,8,0.01,symmetric,0.500075409370392
75% Corpus,8,0.31,0.01,0.403642800643163
75% Corpus,8,0.31,0.31,0.4889709956124564
