Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.358306538998173
75% Corpus,2,0.01,0.31,0.363289266304837
75% Corpus,2,0.01,0.61,0.3592008150954174
75% Corpus,2,0.01,0.9099999999999999,0.4161305485858303
75% Corpus,2,0.01,symmetric,0.35939634958355055
75% Corpus,2,0.31,0.01,0.36621886178873486
75% Corpus,2,0.31,0.31,0.3664419874601208
75% Corpus,2,0.31,0.61,0.35939634958355055
75% Corpus,2,0.31,0.9099999999999999,0.45584673770194434
75% Corpus,2,0.31,symmetric,0.367968427198285
75% Corpus,2,0.61,0.01,0.3662188617887349
75% Corpus,2,0.61,0.31,0.367936551984675
75% Corpus,2,0.61,0.61,0.38516250182813416
75% Corpus,2,0.61,0.9099999999999999,0.3654894819348604
75% Corpus,2,0.61,symmetric,0.37206420160342324
75% Corpus,2,0.9099999999999999,0.01,0.3625009402942126
75% Corpus,2,0.9099999999999999,0.31,0.36793655198467495
75% Corpus,2,0.9099999999999999,0.61,0.38516250182813416
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.38527994240536223
75% Corpus,2,0.9099999999999999,symmetric,0.3855113229651319
75% Corpus,2,symmetric,0.01,0.36621886178873486
75% Corpus,2,symmetric,0.31,0.367936551984675
75% Corpus,2,symmetric,0.61,0.3703038252793029
75% Corpus,2,symmetric,0.9099999999999999,0.36113709994029075
75% Corpus,2,symmetric,symmetric,0.3703038252793029
75% Corpus,2,asymmetric,0.01,0.3686758814828583
75% Corpus,2,asymmetric,0.31,0.36874603398840716
75% Corpus,2,asymmetric,0.61,0.36349541649660033
75% Corpus,2,asymmetric,0.9099999999999999,0.3652052902280435
75% Corpus,2,asymmetric,symmetric,0.3639773655216184
75% Corpus,3,0.01,0.01,0.38151313673310444
75% Corpus,3,0.01,0.31,0.4117880825448319
75% Corpus,3,0.01,0.61,0.476639101964589
75% Corpus,3,0.01,0.9099999999999999,0.5035552838221443
75% Corpus,3,0.01,symmetric,0.42308355885528837
75% Corpus,3,0.31,0.01,0.38821430784624783
75% Corpus,3,0.31,0.31,0.3901567344853312
75% Corpus,3,0.31,0.61,0.4700227770043788
75% Corpus,3,0.31,0.9099999999999999,0.5104515439568239
75% Corpus,3,0.31,symmetric,0.41300663953986305
75% Corpus,3,0.61,0.01,0.3945035218276011
75% Corpus,3,0.61,0.31,0.39612011589243634
75% Corpus,3,0.61,0.61,0.4141888034463312
75% Corpus,3,0.61,0.9099999999999999,0.5148274435125452
75% Corpus,3,0.61,symmetric,0.3931334101871937
75% Corpus,3,0.9099999999999999,0.01,0.39061778172314704
75% Corpus,3,0.9099999999999999,0.31,0.4014627836564167
75% Corpus,3,0.9099999999999999,0.61,0.4094752223543616
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4418695301297228
75% Corpus,3,0.9099999999999999,symmetric,0.4014627836564167
75% Corpus,3,symmetric,0.01,0.3859198342981513
75% Corpus,3,symmetric,0.31,0.3902111898166767
75% Corpus,3,symmetric,0.61,0.47002277700437894
