Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4943928494911476
75% Corpus,2,0.01,0.31,0.4943928494911476
75% Corpus,2,0.01,0.61,0.49714481626073836
75% Corpus,2,0.01,0.9099999999999999,0.4783832083921591
75% Corpus,2,0.01,symmetric,0.4943928494911476
75% Corpus,2,0.31,0.01,0.5093692775916945
75% Corpus,2,0.31,0.31,0.503169206964258
75% Corpus,2,0.31,0.61,0.5031692069642582
75% Corpus,2,0.31,0.9099999999999999,0.4943928494911476
75% Corpus,2,0.31,symmetric,0.5031692069642582
75% Corpus,2,0.61,0.01,0.5154228067530975
75% Corpus,2,0.61,0.31,0.5000677967464711
75% Corpus,2,0.61,0.61,0.5000677967464711
75% Corpus,2,0.61,0.9099999999999999,0.5031692069642582
75% Corpus,2,0.61,symmetric,0.5000677967464711
75% Corpus,2,0.9099999999999999,0.01,0.5308872553915491
75% Corpus,2,0.9099999999999999,0.31,0.5068523082519079
75% Corpus,2,0.9099999999999999,0.61,0.5090710286536785
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5090710286536785
75% Corpus,2,0.9099999999999999,symmetric,0.5090710286536785
75% Corpus,2,symmetric,0.01,0.5154228067530975
75% Corpus,2,symmetric,0.31,0.5000677967464711
75% Corpus,2,symmetric,0.61,0.5031692069642582
75% Corpus,2,symmetric,0.9099999999999999,0.503169206964258
75% Corpus,2,symmetric,symmetric,0.503169206964258
75% Corpus,2,asymmetric,0.01,0.49318393880869
75% Corpus,2,asymmetric,0.31,0.5063382132362868
75% Corpus,2,asymmetric,0.61,0.4787839638789474
75% Corpus,2,asymmetric,0.9099999999999999,0.47999498842523136
75% Corpus,2,asymmetric,symmetric,0.4787839638789474
75% Corpus,3,0.01,0.01,0.47614810440079763
75% Corpus,3,0.01,0.31,0.46406903350985546
75% Corpus,3,0.01,0.61,0.4860965048527852
75% Corpus,3,0.01,0.9099999999999999,0.5005648997110764
75% Corpus,3,0.01,symmetric,0.4273695326833888
75% Corpus,3,0.31,0.01,0.4730044998122951
75% Corpus,3,0.31,0.31,0.5005681204004914
75% Corpus,3,0.31,0.61,0.4764602712185315
75% Corpus,3,0.31,0.9099999999999999,0.48471199914682095
75% Corpus,3,0.31,symmetric,0.5001429462023373
75% Corpus,3,0.61,0.01,0.5126411005217519
75% Corpus,3,0.61,0.31,0.4835510441964012
75% Corpus,3,0.61,0.61,0.47677747302167045
75% Corpus,3,0.61,0.9099999999999999,0.5176793873135442
75% Corpus,3,0.61,symmetric,0.4869894575187579
75% Corpus,3,0.9099999999999999,0.01,0.5113229076801188
75% Corpus,3,0.9099999999999999,0.31,0.4734659264635524
75% Corpus,3,0.9099999999999999,0.61,0.480446242170453
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.47828955554904296
75% Corpus,3,0.9099999999999999,symmetric,0.4737010923876652
75% Corpus,3,symmetric,0.01,0.4709859351202439
75% Corpus,3,symmetric,0.31,0.47432506998066554
75% Corpus,3,symmetric,0.61,0.5439910796196665
75% Corpus,3,symmetric,0.9099999999999999,0.533178838311705
75% Corpus,3,symmetric,symmetric,0.4803372301063366
75% Corpus,3,asymmetric,0.01,0.5113583755476403
75% Corpus,3,asymmetric,0.31,0.46748367874158553
75% Corpus,3,asymmetric,0.61,0.46123633991928675
75% Corpus,3,asymmetric,0.9099999999999999,0.481930047715899
75% Corpus,3,asymmetric,symmetric,0.4710425554055993
75% Corpus,4,0.01,0.01,0.4998489459478612
75% Corpus,4,0.01,0.31,0.4799624087886741
75% Corpus,4,0.01,0.61,0.5496700048203196
75% Corpus,4,0.01,0.9099999999999999,0.609612306689751
75% Corpus,4,0.01,symmetric,0.4586331142551218
75% Corpus,4,0.31,0.01,0.48969891788192926
75% Corpus,4,0.31,0.31,0.4691332096550014
75% Corpus,4,0.31,0.61,0.5217852706417838
75% Corpus,4,0.31,0.9099999999999999,0.5195623117260459
75% Corpus,4,0.31,symmetric,0.4793232299014163
75% Corpus,4,0.61,0.01,0.5079880971558627
75% Corpus,4,0.61,0.31,0.5130344274444465
75% Corpus,4,0.61,0.61,0.48611474121181664
75% Corpus,4,0.61,0.9099999999999999,0.4926591979418551
75% Corpus,4,0.61,symmetric,0.49990323446000173
75% Corpus,4,0.9099999999999999,0.01,0.49110267589295903
75% Corpus,4,0.9099999999999999,0.31,0.4902944773373241
75% Corpus,4,0.9099999999999999,0.61,0.4857843504699249
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5111520356913918
75% Corpus,4,0.9099999999999999,symmetric,0.47663142696955846
75% Corpus,4,symmetric,0.01,0.4879707356851143
75% Corpus,4,symmetric,0.31,0.4642364105704663
75% Corpus,4,symmetric,0.61,0.5168901967628037
75% Corpus,4,symmetric,0.9099999999999999,0.5113063485646003
75% Corpus,4,symmetric,symmetric,0.4670707567950029
75% Corpus,4,asymmetric,0.01,0.5014933169976055
75% Corpus,4,asymmetric,0.31,0.45318030184737945
75% Corpus,4,asymmetric,0.61,0.4724090214477771
75% Corpus,4,asymmetric,0.9099999999999999,0.47092239381279977
75% Corpus,4,asymmetric,symmetric,0.472395755323496
75% Corpus,5,0.01,0.01,0.49717543662733954
75% Corpus,5,0.01,0.31,0.42518428181846135
75% Corpus,5,0.01,0.61,0.5135056761313946
75% Corpus,5,0.01,0.9099999999999999,0.482432675881285
75% Corpus,5,0.01,symmetric,0.44721015232301936
75% Corpus,5,0.31,0.01,0.4776781343333732
75% Corpus,5,0.31,0.31,0.4185245690191663
75% Corpus,5,0.31,0.61,0.5635587681477341
75% Corpus,5,0.31,0.9099999999999999,0.5797347911623906
75% Corpus,5,0.31,symmetric,0.5001320671975515
75% Corpus,5,0.61,0.01,0.48608488699815505
75% Corpus,5,0.61,0.31,0.48369364805829773
75% Corpus,5,0.61,0.61,0.4960497369586081
75% Corpus,5,0.61,0.9099999999999999,0.5807639624572823
75% Corpus,5,0.61,symmetric,0.5017112665851637
75% Corpus,5,0.9099999999999999,0.01,0.4827567362726538
75% Corpus,5,0.9099999999999999,0.31,0.4879723150521384
75% Corpus,5,0.9099999999999999,0.61,0.49801148478074103
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.466508205652117
75% Corpus,5,0.9099999999999999,symmetric,0.4920428717982993
75% Corpus,5,symmetric,0.01,0.48115565579690783
75% Corpus,5,symmetric,0.31,0.44585715238776064
75% Corpus,5,symmetric,0.61,0.5214736739608876
75% Corpus,5,symmetric,0.9099999999999999,0.5897153068788965
75% Corpus,5,symmetric,symmetric,0.4354328365350531
75% Corpus,5,asymmetric,0.01,0.4556273280545665
75% Corpus,5,asymmetric,0.31,0.5301511021545651
75% Corpus,5,asymmetric,0.61,0.4712959799095717
75% Corpus,5,asymmetric,0.9099999999999999,0.45594112061349507
75% Corpus,5,asymmetric,symmetric,0.4442971224353224
75% Corpus,6,0.01,0.01,0.49462720083656087
75% Corpus,6,0.01,0.31,0.5478486245207945
75% Corpus,6,0.01,0.61,0.5585902719026309
75% Corpus,6,0.01,0.9099999999999999,0.5473635316828397
75% Corpus,6,0.01,symmetric,0.47825709889399287
75% Corpus,6,0.31,0.01,0.4750275912447874
75% Corpus,6,0.31,0.31,0.47311730272880964
75% Corpus,6,0.31,0.61,0.5363368951937698
75% Corpus,6,0.31,0.9099999999999999,0.5540510193254521
75% Corpus,6,0.31,symmetric,0.48356569978499664
75% Corpus,6,0.61,0.01,0.5010471786445454
75% Corpus,6,0.61,0.31,0.4932061889362061
75% Corpus,6,0.61,0.61,0.47076416738701216
75% Corpus,6,0.61,0.9099999999999999,0.5543018379017881
75% Corpus,6,0.61,symmetric,0.4813392001828431
75% Corpus,6,0.9099999999999999,0.01,0.4990164324744535
75% Corpus,6,0.9099999999999999,0.31,0.4906978304429101
75% Corpus,6,0.9099999999999999,0.61,0.48291930968181895
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5187071183354811
75% Corpus,6,0.9099999999999999,symmetric,0.4988491111377245
75% Corpus,6,symmetric,0.01,0.4861896183678411
75% Corpus,6,symmetric,0.31,0.4689169091330993
75% Corpus,6,symmetric,0.61,0.539237469868715
75% Corpus,6,symmetric,0.9099999999999999,0.5622318498477381
75% Corpus,6,symmetric,symmetric,0.46398622293366065
75% Corpus,6,asymmetric,0.01,0.5020833976663417
75% Corpus,6,asymmetric,0.31,0.5064530044783689
75% Corpus,6,asymmetric,0.61,0.4647248222655149
75% Corpus,6,asymmetric,0.9099999999999999,0.4190543399873101
75% Corpus,6,asymmetric,symmetric,0.47027549569537136
75% Corpus,7,0.01,0.01,0.5007555454503048
75% Corpus,7,0.01,0.31,0.5253105185634338
75% Corpus,7,0.01,0.61,0.4959429207707343
75% Corpus,7,0.01,0.9099999999999999,0.5152250113889393
75% Corpus,7,0.01,symmetric,0.5269841168845948
75% Corpus,7,0.31,0.01,0.5004271899118538
75% Corpus,7,0.31,0.31,0.4421367941087155
75% Corpus,7,0.31,0.61,0.5281862829670257
75% Corpus,7,0.31,0.9099999999999999,0.5482843462475812
75% Corpus,7,0.31,symmetric,0.5005760282817785
75% Corpus,7,0.61,0.01,0.49495871393774354
75% Corpus,7,0.61,0.31,0.46686701355648225
75% Corpus,7,0.61,0.61,0.4873291893379021
75% Corpus,7,0.61,0.9099999999999999,0.47662292681741336
75% Corpus,7,0.61,symmetric,0.4940284666478844
75% Corpus,7,0.9099999999999999,0.01,0.4728804621924461
75% Corpus,7,0.9099999999999999,0.31,0.4630824842242297
75% Corpus,7,0.9099999999999999,0.61,0.4963502667180474
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4919718483293926
75% Corpus,7,0.9099999999999999,symmetric,0.49080644360867476
75% Corpus,7,symmetric,0.01,0.4682513711776143
75% Corpus,7,symmetric,0.31,0.5417825760251207
75% Corpus,7,symmetric,0.61,0.5022527235674373
75% Corpus,7,symmetric,0.9099999999999999,0.5194447114121696
75% Corpus,7,symmetric,symmetric,0.5248423592655153
75% Corpus,7,asymmetric,0.01,0.47127914506487606
75% Corpus,7,asymmetric,0.31,0.5330079983716338
75% Corpus,7,asymmetric,0.61,0.4612968337969742
75% Corpus,7,asymmetric,0.9099999999999999,0.5195390000533214
75% Corpus,7,asymmetric,symmetric,0.5052790652474223
75% Corpus,8,0.01,0.01,0.5093509500237206
75% Corpus,8,0.01,0.31,0.51898579201986
75% Corpus,8,0.01,0.61,0.4932688340914857
75% Corpus,8,0.01,0.9099999999999999,0.522086679102981
75% Corpus,8,0.01,symmetric,0.5299381857251485
75% Corpus,8,0.31,0.01,0.4967642782288601
75% Corpus,8,0.31,0.31,0.49186946381181385
75% Corpus,8,0.31,0.61,0.5209041634143894
75% Corpus,8,0.31,0.9099999999999999,0.46709821889073455
75% Corpus,8,0.31,symmetric,0.5207062679814561
75% Corpus,8,0.61,0.01,0.4930813053292265
75% Corpus,8,0.61,0.31,0.48833804509190515
75% Corpus,8,0.61,0.61,0.5331865118209491
75% Corpus,8,0.61,0.9099999999999999,0.5386958244438372
75% Corpus,8,0.61,symmetric,0.5047148960322175
75% Corpus,8,0.9099999999999999,0.01,0.4676311855610063
75% Corpus,8,0.9099999999999999,0.31,0.49242964662726535
75% Corpus,8,0.9099999999999999,0.61,0.5076981385140141
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.48920909108144983
75% Corpus,8,0.9099999999999999,symmetric,0.48297892901561423
75% Corpus,8,symmetric,0.01,0.5308988858230919
75% Corpus,8,symmetric,0.31,0.5162985459503576
75% Corpus,8,symmetric,0.61,0.49230547337961217
75% Corpus,8,symmetric,0.9099999999999999,0.45158003665178276
75% Corpus,8,symmetric,symmetric,0.5516640457953281
75% Corpus,8,asymmetric,0.01,0.46127261875233205
75% Corpus,8,asymmetric,0.31,0.4835926957330581
75% Corpus,8,asymmetric,0.61,0.47872806828858777
75% Corpus,8,asymmetric,0.9099999999999999,0.5581688773057785
75% Corpus,8,asymmetric,symmetric,0.5031141604808611
75% Corpus,9,0.01,0.01,0.49196371459212834
75% Corpus,9,0.01,0.31,0.4960911729389658
75% Corpus,9,0.01,0.61,0.47845363172661304
75% Corpus,9,0.01,0.9099999999999999,0.5533113781505723
75% Corpus,9,0.01,symmetric,0.5305064270806326
75% Corpus,9,0.31,0.01,0.48174452613359825
75% Corpus,9,0.31,0.31,0.5167972024242778
75% Corpus,9,0.31,0.61,0.5064398849107357
75% Corpus,9,0.31,0.9099999999999999,0.5139373167900442
75% Corpus,9,0.31,symmetric,0.5000957276218388
75% Corpus,9,0.61,0.01,0.4960501034624005
75% Corpus,9,0.61,0.31,0.5332493972786742
75% Corpus,9,0.61,0.61,0.4987536407651101
75% Corpus,9,0.61,0.9099999999999999,0.5221362773331857
75% Corpus,9,0.61,symmetric,0.5103122944098037
75% Corpus,9,0.9099999999999999,0.01,0.47913178505424686
75% Corpus,9,0.9099999999999999,0.31,0.49605852447666166
75% Corpus,9,0.9099999999999999,0.61,0.53269793074333
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5088422946617412
75% Corpus,9,0.9099999999999999,symmetric,0.479922775142107
75% Corpus,9,symmetric,0.01,0.49650633722505333
75% Corpus,9,symmetric,0.31,0.4416292293054054
75% Corpus,9,symmetric,0.61,0.48536768479121417
75% Corpus,9,symmetric,0.9099999999999999,0.470837021960679
75% Corpus,9,symmetric,symmetric,0.5174156273691282
75% Corpus,9,asymmetric,0.01,0.47889293698381746
75% Corpus,9,asymmetric,0.31,0.4744810941759147
75% Corpus,9,asymmetric,0.61,0.45552559361662137
75% Corpus,9,asymmetric,0.9099999999999999,0.539012112362303
75% Corpus,9,asymmetric,symmetric,0.478110279082895
75% Corpus,10,0.01,0.01,0.48457307303456537
75% Corpus,10,0.01,0.31,0.49595030719445365
75% Corpus,10,0.01,0.61,0.4508347654967343
75% Corpus,10,0.01,0.9099999999999999,0.5306149698218439
75% Corpus,10,0.01,symmetric,0.5071693537399025
75% Corpus,10,0.31,0.01,0.4713686009739556
75% Corpus,10,0.31,0.31,0.5322535355581098
75% Corpus,10,0.31,0.61,0.4411379258808167
75% Corpus,10,0.31,0.9099999999999999,0.47175682272131125
75% Corpus,10,0.31,symmetric,0.4845259840898068
75% Corpus,10,0.61,0.01,0.49714879432914827
75% Corpus,10,0.61,0.31,0.5001119263756912
75% Corpus,10,0.61,0.61,0.4898417848051258
75% Corpus,10,0.61,0.9099999999999999,0.5498707221364236
75% Corpus,10,0.61,symmetric,0.49694432360324736
75% Corpus,10,0.9099999999999999,0.01,0.4800104930821437
75% Corpus,10,0.9099999999999999,0.31,0.4975474157097689
75% Corpus,10,0.9099999999999999,0.61,0.5365835488560394
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5327263778897702
75% Corpus,10,0.9099999999999999,symmetric,0.5039055586966681
75% Corpus,10,symmetric,0.01,0.5070588493830543
75% Corpus,10,symmetric,0.31,0.5205452854889179
75% Corpus,10,symmetric,0.61,0.4702539199210845
75% Corpus,10,symmetric,0.9099999999999999,0.5325949971817214
75% Corpus,10,symmetric,symmetric,0.5032625380025575
75% Corpus,10,asymmetric,0.01,0.5041430087401542
75% Corpus,10,asymmetric,0.31,0.48088313017999046
75% Corpus,10,asymmetric,0.61,0.41349556576227053
75% Corpus,10,asymmetric,0.9099999999999999,0.5591518073217137
75% Corpus,10,asymmetric,symmetric,0.4870217138750087
100% Corpus,2,0.01,0.01,0.4673524628556007
100% Corpus,2,0.01,0.31,0.44638240166248067
100% Corpus,2,0.01,0.61,0.4409059499435254
100% Corpus,2,0.01,0.9099999999999999,0.4409059499435254
100% Corpus,2,0.01,symmetric,0.43898005174705884
100% Corpus,2,0.31,0.01,0.4622989927359916
100% Corpus,2,0.31,0.31,0.44343257627191596
100% Corpus,2,0.31,0.61,0.44658182471073915
100% Corpus,2,0.31,0.9099999999999999,0.445721078776241
100% Corpus,2,0.31,symmetric,0.4393129551720868
100% Corpus,2,0.61,0.01,0.48378791043065805
100% Corpus,2,0.61,0.31,0.45546520185745915
100% Corpus,2,0.61,0.61,0.45546520185745915
100% Corpus,2,0.61,0.9099999999999999,0.4620599961168401
100% Corpus,2,0.61,symmetric,0.45546520185745915
100% Corpus,2,0.9099999999999999,0.01,0.48378791043065805
100% Corpus,2,0.9099999999999999,0.31,0.4704752388322597
100% Corpus,2,0.9099999999999999,0.61,0.4616142160829927
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4620599961168401
100% Corpus,2,0.9099999999999999,symmetric,0.4616142160829927
100% Corpus,2,symmetric,0.01,0.4828829501876407
100% Corpus,2,symmetric,0.31,0.45546520185745915
100% Corpus,2,symmetric,0.61,0.4592079305833122
100% Corpus,2,symmetric,0.9099999999999999,0.45821136027656156
100% Corpus,2,symmetric,symmetric,0.4592079305833122
100% Corpus,2,asymmetric,0.01,0.4509424907379093
100% Corpus,2,asymmetric,0.31,0.4572379525722464
100% Corpus,2,asymmetric,0.61,0.46156166409504057
100% Corpus,2,asymmetric,0.9099999999999999,0.4615616640950405
100% Corpus,2,asymmetric,symmetric,0.45820677546269256
100% Corpus,3,0.01,0.01,0.4597820092180958
100% Corpus,3,0.01,0.31,0.42646892533652836
100% Corpus,3,0.01,0.61,0.5723581853464241
100% Corpus,3,0.01,0.9099999999999999,0.5725464004495261
100% Corpus,3,0.01,symmetric,0.428705922135948
100% Corpus,3,0.31,0.01,0.46591068106292904
100% Corpus,3,0.31,0.31,0.45773723954718104
100% Corpus,3,0.31,0.61,0.45773723954718104
100% Corpus,3,0.31,0.9099999999999999,0.45320485755088863
100% Corpus,3,0.31,symmetric,0.4577372395471811
100% Corpus,3,0.61,0.01,0.45356022088988346
100% Corpus,3,0.61,0.31,0.4657651926910144
100% Corpus,3,0.61,0.61,0.46759845283759094
100% Corpus,3,0.61,0.9099999999999999,0.4291165010682998
100% Corpus,3,0.61,symmetric,0.4721900515472773
100% Corpus,3,0.9099999999999999,0.01,0.5002908677868766
100% Corpus,3,0.9099999999999999,0.31,0.4629601515856207
100% Corpus,3,0.9099999999999999,0.61,0.46918941186567453
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.47230916127330785
100% Corpus,3,0.9099999999999999,symmetric,0.46296015158562076
100% Corpus,3,symmetric,0.01,0.4650564244972147
100% Corpus,3,symmetric,0.31,0.46106607179081155
100% Corpus,3,symmetric,0.61,0.422030091069365
100% Corpus,3,symmetric,0.9099999999999999,0.5006107954375638
100% Corpus,3,symmetric,symmetric,0.4425872290067092
100% Corpus,3,asymmetric,0.01,0.4707628743188726
100% Corpus,3,asymmetric,0.31,0.45460426643064694
100% Corpus,3,asymmetric,0.61,0.4587848246564114
