Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.39916761762717645
75% Corpus,2,0.01,0.31,0.3898706146523435
75% Corpus,2,0.01,0.61,0.39134457654364707
75% Corpus,2,0.01,0.9099999999999999,0.3986319613097977
75% Corpus,2,0.01,symmetric,0.39134457654364696
75% Corpus,2,0.31,0.01,0.3962865426290747
75% Corpus,2,0.31,0.31,0.39526503587815937
75% Corpus,2,0.31,0.61,0.3952650358781593
75% Corpus,2,0.31,0.9099999999999999,0.389420376359377
75% Corpus,2,0.31,symmetric,0.3952650358781593
75% Corpus,2,0.61,0.01,0.3962865426290746
75% Corpus,2,0.61,0.31,0.39526503587815925
75% Corpus,2,0.61,0.61,0.389420376359377
75% Corpus,2,0.61,0.9099999999999999,0.4013925823834386
75% Corpus,2,0.61,symmetric,0.3952650358781593
75% Corpus,2,0.9099999999999999,0.01,0.3962865426290746
75% Corpus,2,0.9099999999999999,0.31,0.3952650358781593
75% Corpus,2,0.9099999999999999,0.61,0.3910199294652046
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.40139258238343856
75% Corpus,2,0.9099999999999999,symmetric,0.3910199294652046
75% Corpus,2,symmetric,0.01,0.3962865426290746
75% Corpus,2,symmetric,0.31,0.39526503587815925
75% Corpus,2,symmetric,0.61,0.389420376359377
75% Corpus,2,symmetric,0.9099999999999999,0.3894203763593771
75% Corpus,2,symmetric,symmetric,0.39526503587815925
75% Corpus,2,asymmetric,0.01,0.4052265824605178
75% Corpus,2,asymmetric,0.31,0.39377319640136055
75% Corpus,2,asymmetric,0.61,0.39440039046409153
75% Corpus,2,asymmetric,0.9099999999999999,0.3944003904640916
75% Corpus,2,asymmetric,symmetric,0.39440039046409153
75% Corpus,3,0.01,0.01,0.3751802005158021
75% Corpus,3,0.01,0.31,0.3741421734251413
75% Corpus,3,0.01,0.61,0.39017335968825345
75% Corpus,3,0.01,0.9099999999999999,0.403597738408723
75% Corpus,3,0.01,symmetric,0.3678377024896144
75% Corpus,3,0.31,0.01,0.38113551184645905
75% Corpus,3,0.31,0.31,0.4681135615720687
75% Corpus,3,0.31,0.61,0.4015376360555054
75% Corpus,3,0.31,0.9099999999999999,0.38903838742668223
75% Corpus,3,0.31,symmetric,0.47608017440208417
75% Corpus,3,0.61,0.01,0.3786863651681302
75% Corpus,3,0.61,0.31,0.38323298251311094
75% Corpus,3,0.61,0.61,0.4621458141788996
75% Corpus,3,0.61,0.9099999999999999,0.37800768066143653
75% Corpus,3,0.61,symmetric,0.4248724412047468
75% Corpus,3,0.9099999999999999,0.01,0.3946336998642839
75% Corpus,3,0.9099999999999999,0.31,0.36757735714509704
75% Corpus,3,0.9099999999999999,0.61,0.48056006523702566
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4462329649344774
75% Corpus,3,0.9099999999999999,symmetric,0.3678942559946683
75% Corpus,3,symmetric,0.01,0.38113551184645916
75% Corpus,3,symmetric,0.31,0.4681135615720687
75% Corpus,3,symmetric,0.61,0.4015376360555054
75% Corpus,3,symmetric,0.9099999999999999,0.3890383874266823
75% Corpus,3,symmetric,symmetric,0.47608017440208417
75% Corpus,3,asymmetric,0.01,0.3907617442030477
75% Corpus,3,asymmetric,0.31,0.4387103263145211
75% Corpus,3,asymmetric,0.61,0.38036267737178425
75% Corpus,3,asymmetric,0.9099999999999999,0.3765480390632379
75% Corpus,3,asymmetric,symmetric,0.43495187845565936
75% Corpus,4,0.01,0.01,0.38070778261810273
75% Corpus,4,0.01,0.31,0.5053900225695387
75% Corpus,4,0.01,0.61,0.41265452936061325
75% Corpus,4,0.01,0.9099999999999999,0.46243223429422686
75% Corpus,4,0.01,symmetric,0.5027461756246958
75% Corpus,4,0.31,0.01,0.38348378488310464
75% Corpus,4,0.31,0.31,0.44563990445607704
75% Corpus,4,0.31,0.61,0.39820354057174334
75% Corpus,4,0.31,0.9099999999999999,0.3868322641663174
75% Corpus,4,0.31,symmetric,0.45761148881531843
75% Corpus,4,0.61,0.01,0.40256390780516194
75% Corpus,4,0.61,0.31,0.43854769334759125
75% Corpus,4,0.61,0.61,0.41422453104006846
75% Corpus,4,0.61,0.9099999999999999,0.41129888636868533
75% Corpus,4,0.61,symmetric,0.3810139308362842
75% Corpus,4,0.9099999999999999,0.01,0.40533698500404436
75% Corpus,4,0.9099999999999999,0.31,0.3841766547680556
75% Corpus,4,0.9099999999999999,0.61,0.41109463149867503
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.45441145734353133
75% Corpus,4,0.9099999999999999,symmetric,0.3848497508485372
75% Corpus,4,symmetric,0.01,0.37197118108421706
75% Corpus,4,symmetric,0.31,0.45224081809872707
75% Corpus,4,symmetric,0.61,0.4086243198606894
75% Corpus,4,symmetric,0.9099999999999999,0.3907820835698116
75% Corpus,4,symmetric,symmetric,0.4778220266188836
75% Corpus,4,asymmetric,0.01,0.3568555907304961
75% Corpus,4,asymmetric,0.31,0.49486679185495885
75% Corpus,4,asymmetric,0.61,0.4484969563385809
75% Corpus,4,asymmetric,0.9099999999999999,0.4737894895638983
75% Corpus,4,asymmetric,symmetric,0.49652471837240153
75% Corpus,5,0.01,0.01,0.38010206557401827
75% Corpus,5,0.01,0.31,0.4128558944763542
